ID,WIKI_ID,DEATH_DATE,BIRTH_DATE,AGE
e77e8cea76a30466956815d18b255211,Q369916,,1947-08-15,76
e20f42a32efc8674a0cd00c57bd10f90,Q12978,,1953-04-11,70
1bc18c58c09523058b7f8572eb99494b,Q487370,1967-02-12,1901-11-09,65
69f38253ee5e8e66221e4d2b19838e32,Q6142419,,1951-05-20,72
3b0415190931ed2e6f7e93b2b101dd47,Q221364,,1998-07-08,25
af015f45dec8cbaa12a34c49f93b7bda,Q554168,,1968-07-20,55
e1ab83ee0e0570a0862f24eb20ae40a9,Q7052685,,1942-10-04,81
2421911c65a77596d3d34d6bd7ce3e20,Q966208,,1944-11-10,79
24cbe229e9d574a9ef57da7293b2973e,Q713066,,1959-06-10,64
ed8b1cbfe9f4f4b6c465ab1764642dd2,Q334279,2007-07-08,1927-04-17,80
012baf9e55867b978b9e93c9f2f16b3d,Q549562,,1989-02-08,34
a2828b4775c7663be21dca0794d17cd8,Q186630,2011-04-30,1911-06-24,99
e48077fc74952f82c78f94206596ab3f,Q3807512,1984-07-21,1922-07-02,62
4581af6db14eca36f809bab00bf35547,Q5544450,,1944-07-11,79
2ec8b04e82ba701bf93b7f6bfc7d8e7e,Q5115660,,1949-05-31,74
b74daf5a20468ad62ab375715036267b,Q169814,,1979-02-16,44
065265d50d4d984a654e88a11bdb0c26,Q503225,1992-02-15,1910-08-04,81
6cbd0d366a75118ffaced12b3fa590e4,Q106940,2006-04-22,1921-05-31,84
807d74ed3557460a3f55145fd373eaaa,Q230123,,1976-07-18,47
c951d429e74be4db3183384f948fedb2,Q3015037,,1963-06-12,60
bf7d5bc15c9a4af5fbff138f6ec8118f,Q360015,,1940-07-30,83
6cfe57944f635e039d04b968a26d9dd5,Q270186,,1971-12-14,52
322ffc4a561e54a668bde6e01d1396c3,Q1264331,,1956-10-11,67
0ed4301c1d3200df26838ff99fff739a,Q21468734,2005-11-23,1927-07-05,78
4514e05863df707fadf8a7e171b7d80e,Q5000919,,1937-11-30,86
30c81666c1051240645c2e867725a387,Q7437200,,1901-01-01,123
f21a77f9b20e3e4a7aeb1c165a35a37b,Q539388,2005-10-12,1927-10-04,78
2a3f26cdb3efb83712856416820b5893,Q975161,2015-07-18,1936-02-29,79
150a0d42e57167cb5d1addec18f485c2,Q84365,2005-04-26,1926-01-15,79
daa574afcb74562597c945c1f1afe912,Q5258264,,1927-04-01,96
86f5491c78f17cfa1cd1cecdf78cefde,Q7350756,,1924-08-25,99
5c5aa6ef8c7bce506495f3cd5d5e7ae0,Q465671,,1977-11-19,46
6a7aa27fd2d792b80f5672df342bed3a,Q746520,,1938-02-16,85
f12508e1808143d9a1b9e1e53b071b35,Q228650,1987-06-13,1924-11-22,62
db0d7c41fd7a2e2fd6202b6b5957813e,Q9434,2016-09-25,1929-09-10,87
b9df908f09218a4420f11e94104b0501,Q295080,2006-06-23,1923-04-22,83
9837981925604cb6dc831b787d371bdf,Q461290,,1969-07-06,54
d69977862e9170e6ea0994aa4f2d27cb,Q4355917,1974-05-13,1904-10-25,69
b17cd04aa461edda20d19037fe129064,Q537200,2010-05-19,1932-04-12,78
0b9e0c01abe84fc70adaaece7ac262a2,Q3304863,,1952-01-08,71
2b828375ba13a88e77a25f5717a0d12f,Q964279,2009-06-28,1942-10-06,66
637548d41afefa0e8cde138e4f3d5ead,Q577680,1975-04-13,1914-12-13,60
0b696b70ba0d8ec6782b06efa64ed7ee,Q55234,1990-02-19,1905-09-30,84
49354897365924272595ba677d0b3604,Q5593260,,1948-07-18,75
ff2dc20c0427bc16b71592207572acf3,Q468202,1982-06-15,1925-09-01,56
864e98653140f5e48d67974f3b4faf2b,Q7183831,,1942-01-01,82
5805f1cc46246cb41d683d656788445f,Q5645135,,1954-08-17,69
b2d57f59c12a3e00ba84af7372c67254,Q273407,,1958-01-11,65
1f79802a70e9033f77821112bd03da89,Q608695,,1961-04-17,62
6417258547a14d4a7dd23c65a84c11a8,Q1283268,1998-09-05,1921-08-27,77
881f8cceb2eb3886dbc16cd7d0320828,Q18388177,,1953-01-01,71
481d7d9535c066cc18a7cf003052d2cb,Q6205130,,1943-01-01,81
1fe055b8c4cec1d72e1444bd4ab6f7ab,Q363684,,1942-07-24,81
9180d5e0e93c7b54503d7a1a0011d488,Q730952,,1943-08-23,80
4cbcb4426a945ce21a3bc5789ecb41f6,Q635187,2006-08-28,1950-04-04,56
b0de1c50503b00910fc9ea1d13b16a1c,Q109559,2018-10-09,1940-08-23,78
40d0549c8bb61e336931986d89aaf7bc,Q50610,,1957-10-20,66
b61e5abb596b7efe10f8272f4a42b054,Q182609,2021-08-29,1942-05-02,79
bea73d33b4f776e2992086414302d50e,Q23682466,,1941-06-21,82
9d9e82d12af91f24eea26422f6def005,Q220168,2010-07-11,1910-10-20,99
d6be0bdf6795b2ad3bf0ccabca222599,Q720553,2010-09-07,1952-04-15,58
ca3871e4c0fad2c1036ac6009d735424,Q1381411,1986-03-31,1925-07-25,60
16163460ed96042dadaf77e6b0cf430c,Q720581,2023-07-30,1952-08-27,70
6d68142930fdcd4b1bb3a50e0c0d0c0e,Q391261,,1984-10-27,39
367c7fad07ba3473d8628fefa7931c96,Q68118,1974-03-09,1915-11-19,58
3f085328cb33645dc04d19067bef3718,Q2639828,,1969-06-03,54
25574cf3eebdcf9267d9a9a4e09b48ef,Q2895181,2023-07-19,1943-09-01,79
709c3da7fbd695f4a5edb2a312bf4945,Q3163273,,1968-10-01,55
b2bdedd08b0999848edaf81a09c8773d,Q448638,,1973-11-27,50
044c945db440c2094fc36970547e8b56,Q79904,2010-01-27,1919-01-01,91
7784e24f31d664b92189de9b85d01bbd,Q60137,,1948-02-16,75
402bbb9aa35054bb85b237560f8ee691,Q44473,,1947-07-09,76
1a256db0190c3863f2bd7c1111d8f1d1,Q5727098,2013-08-11,1945-02-20,68
3b121205392098d019a073fa22b6e8da,Q308840,,1960-10-18,63
d0abf9d2d6d065e462ab02e9193b1a1b,Q2165504,,1931-01-19,92
c7da6dc5b6fd7fa55e4a29be4be43a91,Q715355,,1947-09-27,76
9e7e78a6e3884f741fa00c08dedadbb7,Q106746,2005-10-28,1943-06-06,62
3f343165b860a93df99dd547b5c47b9f,Q529351,,1956-08-21,67
40630036c6b7588d1487c0725d117376,Q327963,1997-12-04,1925-03-07,72
97172637f2c13ebb5ed2606e65afbe8f,Q155880,,1956-05-15,67
20b89dd32c88669a12d9ea36c0910910,Q15126606,1991-06-05,1913-06-18,77
d64959e519701c0ae515ba78807a69bb,Q437806,,1937-06-10,86
bb6312547766a2c6871b432e315c6da6,Q255339,,1963-12-23,60
be144e3e21b5232d72b555db8415f6de,Q1687632,,1980-08-18,43
7a0cf744f8c23c6251122e0a7f350752,Q991768,,1945-01-23,78
27123ced801aa20c19ec16e2a655b15c,Q7422718,,1948-10-08,75
c6b7b96fdc95c3b64e1112ca72ac09f0,Q117346,,1966-06-13,57
220eeb1919ce4dc9804e463f6f9cfb10,Q128568,2020-09-19,1929-06-07,91
05e0bc996d8fd0e8c5c849102ed8fb98,Q6105121,,1953-01-01,71
ed485fedda37f1937f1adeba0c115784,Q22132530,,1942-10-17,81
24c00d8ab9b8eef7cdffe9f670e5d05f,Q2633016,,1962-11-14,61
11892c40bc45b8360738c149d759d5e5,Q336081,2006-07-17,1918-03-09,88
ae3b390afe1f6e762de2b38b0df9a4e2,Q314424,2018-01-30,1982-08-17,35
55717f5298fcc9dc251aca3f7d5966a6,Q178103,1969-08-09,1903-12-05,65
fb9d819d949d514049a2f187fa1c2bb8,Q13582563,,1942-11-25,81
42a407fec75cce3701bd227cd6d42455,Q928768,2015-07-31,1926-06-01,89
464e6881e162ac5400ecbf6aab6b5fd5,Q232047,,1960-11-18,63
f9158597db6e14b050c4c9de7e620c4e,Q34253,,1969-12-28,54
eac69ab323692612649627836cf726db,Q12830,2016-08-23,1930-10-05,85
00023d0c50f905904efaf9c49ec6a51a,Q120366,,1963-06-10,60
20e7b42de13c4a7c4f258272a09ad9d8,Q302659,,1981-05-28,42
c10176cd0bebf07b364be84fbd890fd1,Q6106348,1991-05-09,1908-06-28,82
efd700b13a4ec6b40007f53a4f3e0a19,Q1283735,,1935-01-21,88
4be8c020e96e97cf96b827da29af1849,Q544692,,1952-04-19,71
0f5b06347a4def09173406c321fa3463,Q561429,,1997-05-30,26
86b5c66cb759543b7c55050fae977403,Q721948,,1947-01-31,76
4de35c95e75bc76b0488ffb21d9ca244,Q2319886,1934-05-23,1910-10-01,23
a685ada8fa5049b574cc2ca8bc629c4a,Q5487815,,1948-08-14,75
31103a11060222985618f65c033fc3b1,Q23365,,1971-01-07,52
ec9701de219644670ee0d105a2a22f63,Q365449,1994-02-16,1924-09-18,69
0a28c92d3e75a5401aefd5ed67b663e4,Q22368,,1950-10-12,73
0aca7dfe8d88834bf1670b5453d5a1ae,Q235072,,1974-04-12,49
fb37144b54f9195c6ce5ee2bb7f1fbb7,Q1176391,,1955-12-24,68
29f687a71befe8a3beeaebe953eeaee9,Q520001,,1980-01-08,43
007946133f0942272f575d0966724fb7,Q108886,,1935-07-03,88
be101fb3591d8adbedf2efc783e8b0ca,Q2995293,2001-04-16,1955-09-01,45
4cb58ce12aa2e120cbbdcbb4c22b6da4,Q471428,2011-07-23,1936-06-27,75
c70f933178906837fd04b33867812fb4,Q153172,2022-05-17,1943-03-29,79
dcdfa083c8e2f1265dfd471ee4edfdc6,Q236846,,1990-05-02,33
a98496bf28fd95045ed2ae7c0bbfdbc8,Q34851,2011-03-23,1932-02-27,79
ed8cc9c798e9ee17d187e2221faacbab,Q240377,,1976-04-30,47
f25046abd3f363919934e9275b25e817,Q11142,,1948-06-23,75
a1c5815ad2a6d988a01a3aa73b200af3,Q93530,,1968-07-17,55
0fde9d5b780d0167843908492c03c445,Q16981542,,1953-01-01,71
4ec39da7817dd8056543805d5ee6fd60,Q937589,1977-08-31,1904-11-13,72
f58dda660d5ee74648aed471a8bdd0e1,Q3037190,1992-02-13,1906-05-21,85
21bb1215f579d596f66c3410edd2bdf6,Q26157397,2010-04-16,1921-06-24,88
2d5f1f1746b81cdf36c3cbb869a28953,Q11865839,2010-01-24,1914-04-21,95
97c664cedd51725404be4b9fe3de1dc7,Q7327201,,1941-01-01,83
7c49f6e78d742e27e945fb8d19a03e76,Q16194777,,1962-08-19,61
fe8f921d90b05f769c40a471092ecbd9,Q1384822,,1968-02-01,55
c39dc852d7b31d9cbf317b6d211510ca,Q286777,,1950-09-18,73
23d5424a5a47ead04e6189f6543cdaac,Q262332,,1974-02-24,49
9b31598153857d17e386fb0c9b66027a,Q328508,,1928-10-31,95
232c52c204b8565be24fb989be8a5801,Q55429,,1949-02-06,74
a7bba40081a22888df6a8f7d11f73ee3,Q263765,2015-05-29,1926-11-01,88
91c6cc850e11e8a831c39cfa623b4d45,Q109737,,1942-10-21,81
a6cce0eeadb60293a88b06477bf10c8d,Q254588,1991-04-10,1900-11-05,90
258cbd40bc7ccbe59b1f5b22bc483793,Q1283902,1972-09-30,1904-09-17,68
e04239ec793841d1128e65e557b6d143,Q1369304,2011-10-16,1915-12-25,95
5662a492d7feaa83a6e96a66c8f4f2a0,Q541637,1986-07-08,1900-01-27,86
11d7e9df1d1413d9817acf6d84ec7586,Q7364958,2021-06-24,1925-07-09,95
1ccf42f704e5db172ac29363d9a75de2,Q885986,1983-10-17,1903-07-18,80
dc96e0cfc2f18fe60614ecd2f1d39b8c,Q469927,2009-08-01,1948-03-30,61
a777cd15da7d631e74220562e224bc78,Q3564997,,1947-06-21,76
4871d720b544e070f581a5d6282e1cb1,Q5733193,1970-04-23,1918-05-29,51
307424e460d9dbc10c6e520b00e6cfc2,Q438608,2003-02-09,1919-07-12,83
0877dab6335c8eaa2b9086203b6605d4,Q318267,,1961-09-30,62
1397e87918c27ae117b554bab8bc6b94,Q242739,,1948-06-19,75
fcdcf39c6956c0cc77a137ee01967fbb,Q206460,2016-12-13,1921-04-14,95
21b64c7019d05598ca8af19e64162775,Q465887,,1951-11-29,72
8568ca1958d0b8498bd9d4c48ab0350a,Q473050,2016-03-13,1938-02-28,78
4bc39dd1fdcda325353a3b78bfbae612,Q291293,,1949-12-04,74
8f97c51be3c62acd2b6e15f1cd06d162,Q469454,2000-09-14,1920-07-12,80
eff4a3e4bbc2d25f2a9fb2fdfa5979ab,Q55230,1988-02-05,1902-12-05,85
fb5d30771580a96ba66da7d95bd770d6,Q1176154,,1967-05-27,56
e252adddbeef69b807e4f00f0f26b7f5,Q726280,2016-07-16,1938-06-23,78
0bdc4d1e95ef36f2b8064f88d81bc071,Q191922,1998-08-26,1918-03-16,80
d3b93fcf28ba3bf71cf1668d289d8891,Q230004,,1979-01-27,44
5f7bb0105e8e175e00e46cbf9748dfed,Q966859,,1941-09-16,82
a5b4a8a3fa3ca871caa85b3300dd526d,Q320204,,1944-07-08,79
ef285a3e535cb20fb7cf95e2f6d8f992,Q208667,,1951-06-13,72
e91dbd417edbceb0d2c3aeeebdf4ef86,Q488387,,1981-01-21,42
55c7f3464a2dcc26370804bff614585b,Q358726,2023-08-27,1936-03-15,87
139a8a52ae521f1e871627240f4f9bd1,Q3548203,2018-05-16,1955-04-13,63
072ed85be6dccb4fffe65711031422ca,Q16105783,,1941-04-08,82
4cc46fec60cf5ec292b03e1b7035eab6,Q18158649,,1951-01-01,73
22d55d53e156321f581a6ed56c9e908d,Q317308,,1978-09-07,45
289da5e93ab4fa9092f17a3f7a870d61,Q155712,2019-02-28,1929-04-06,89
f2ab4ef6281107a9b696bb657ffef366,Q613319,,1968-09-04,55
347e152fb5e78f139e950d14572b26ea,Q1065627,2007-05-25,1931-01-13,76
92c31475df639123d4c7d8fd3c50db6d,Q1397622,,1957-01-14,66
f300439e156f09a449c72c02513c4d2e,Q885091,2020-12-31,1932-07-16,88
f54b08abc08de01b1ff5068788fe987a,Q182665,,1947-04-21,76
5b84912a5b7cf40dc31f42af30258abe,Q1266397,,1967-03-29,56
31b5b1fba449bb2734c17079bc1e8472,Q3195613,,1982-04-04,41
83a9c12f775c47e7ce20e49fede07e3e,Q65989,1958-12-15,1900-04-25,58
9f8787e7d67f2135b0880afd43017584,Q25929564,,1932-01-01,92
32ea61cead84fd1a26e388daa8de0a90,Q11958868,2004-07-28,1928-09-22,75
20c3b6f42721c3cba9a5d0fbfdffd314,Q525362,,1946-12-20,77
bb002693fdcddcc1da201c3f6eb58361,Q1616538,,1970-04-21,53
e28afd9dffe421074f191e4ba73a3a85,Q4245558,,1966-03-25,57
5a39d732d0ec2ab7719bc9ea3056064a,Q365456,,1945-03-09,78
24915a55562ab3956dfa5a818aab5b59,Q517219,2023-01-16,1927-03-29,95
f0fcadac3ddee61b4444d53513ab9dcd,Q725449,,1963-09-08,60
3e15d9b6711c4b0b9c3982cf88974cc0,Q442258,,1949-07-29,74
b5b22804a88f1a41682752699bbd271c,Q8017270,,1935-08-15,88
4c9f2a2c2a569d00fca81075842031ef,Q686052,,1952-09-18,71
cd4243a23866bc4584e29c25d5ce5912,Q158123,,1937-10-04,86
775a000ffe33c15ce921e03585dbf80b,Q359442,,1941-09-08,82
60125e15a2d7dcc68fbf8191a7452498,Q963129,,1959-02-04,64
f24cb3e9ba43193fd214a29a63e6df9c,Q1720439,,1986-10-12,37
de5ba5d229f83c1361b22cc8c47c31a9,Q205345,2018-10-19,1928-08-27,90
a8e10841d22d6ec58c80423c6fadf3ec,Q2603394,,1946-08-05,77
d053a680a557682bb5f0e71211253790,Q312692,1966-07-31,1924-09-27,41
303bac79ad7bf2faeb1d48098e2403db,Q974947,1985-04-23,1907-03-19,78
0658ff87e769b6b654e17dbe0d987894,Q185,,1968-07-16,55
6c1e23df9d3fdc32c3c32b89371ba57d,Q655122,1999-02-07,1918-10-18,80
c29c40d8143048ee758b39e28c932394,Q273812,,1948-04-03,75
58a1fe88cde3728d58e5b58994fc2701,Q93624,1987-03-28,1905-01-26,82
64f2aad219c60cc3dbdc3811cf15514f,Q202553,,1933-02-02,90
7a4a60ebef6c4c39f5b589308fd67a50,Q171166,2010-04-21,1920-07-17,89
02bcaa3ae5d43727a2e3a9793e1429bf,Q1265214,,1964-09-06,59
11fe0569c817f2844fb2d3a46c394d5e,Q1545031,2015-10-31,1927-01-25,88
7553b546fbc18d290ec133ae9a57c24f,Q272346,,1955-07-29,68
c074d21bfd0cc94ef57a0a2832358197,Q6376878,,1951-01-01,73
1a77209f7a616e5b195ac362d4ffff01,Q4955027,,1971-02-06,52
4568b139eb077fb8672537c3d52fee2f,Q242550,,1986-10-06,37
cb39b8d3c127e4ba05a0cb57acfed5f8,Q342252,,1970-03-20,53
79afafbe8abb404731ebc1c6812c905d,Q380484,1996-03-26,1912-09-07,83
19997eb40e757b80398643818ee0cc8b,Q189534,,1935-09-11,88
f94d5f62387226194a618b9ce5688c00,Q716718,1996-02-15,1941-12-10,54
e1572d3fd52b1d39e747401f4e5b8aa1,Q52656,,1944-06-06,79
c2be6f42e4c4efe077e82466a242c425,Q764622,2014-05-18,1930-07-08,83
8aa033108f410b5d3f8cc1491e1e1120,Q981841,,1947-06-19,76
375a53b839a7e07e537d55aaafe30fc9,Q6260257,,1978-02-16,45
e195d3074de97ebbac036b01193356ce,Q140052,,1975-10-25,48
79d802775bc4b6bc0553a64abac15bf0,Q253288,1998-04-26,1907-09-23,90
df4683d034e9282adf82620bba09314c,Q6790760,,1959-01-01,65
4ca8452ee1fb4b48a2e8ecc6e7311e6a,Q326571,2016-03-25,1938-05-07,77
f09c06d8c040ad152fefac43826749f2,Q7147688,,1942-01-01,82
e10e27613f49cb92d3756633dcf5c3da,Q6370096,,1955-12-01,68
e766afe738b4da231298c8990392c4c1,Q5040076,,1934-10-18,89
bc61eda70576cabc036e6bcb9ee6cd7e,Q185873,1986-06-14,1905-03-28,81
97f0192bf8ec8c3fb450d803e9a7afe2,Q710169,,1960-03-12,63
4aae46612b0a970deeede5c5c501eb26,Q6361848,1973-03-22,1906-12-23,66
b5a6cb6c7c804b37cbc936b9ef2d5840,Q361412,,1966-06-17,57
bb6ce949a0a473e7ea6f7fbbcf542320,Q61001,2005-12-26,1914-07-02,91
c14c3c12778faff69a0f8cb042f398aa,Q572004,,1940-03-27,83
48f0758e60725d83c5245414acf35492,Q64088,2017-01-01,1942-12-22,74
32f087faafe9298c7b8df3374ff345c9,Q11153,,1955-01-27,68
b31016ca0afb14c641568221e1ce8983,Q284560,1990-07-22,1932-12-28,57
47181701121005679d580c87451d41a6,Q1772795,2001-11-14,1907-04-04,94
75341a9867523e98763c3935d7a83783,Q498263,,1956-07-01,67
b0792a3f6ebc9c93e0bb8954cefa260d,Q611266,1994-10-03,1907-02-26,87
0d050fcc578e5789f9bba759695bba79,Q455821,2006-01-06,1933-12-01,72
98697a642a148f353564577cd5662ebc,Q273049,1987-09-11,1944-10-19,42
0982f76e38b4049f28d2eba008c65505,Q1818918,,1962-03-08,61
eb47bcf7e290af10040e3d73b436c987,Q337260,1987-10-22,1919-07-14,68
d0c015ecaa720968ba10bf16f83e0086,Q742878,1980-01-26,1912-02-03,67
1cea672b39ee7b4dabf69f722c1b44a7,Q862383,,1946-04-30,77
6f711d0dcc2c8f5e5d3c4052f23ae76f,Q57311,,1951-08-10,72
3eda1ec216b1c54533d433a7e31d2b55,Q280813,,1943-09-02,80
2a672f8d259586cd0f41c4a483841f04,Q159832,,1949-10-01,74
7203dddca6290be479ca5c824ec4dbd2,Q214367,2014-03-23,1932-09-25,81
c295e41f9471f6fc9546b86fdcf28fdf,Q60206,2014-01-11,1928-02-26,85
98606cee60a0d428cd337264c5339540,Q7297939,2020-12-09,1941-02-06,79
f4f7ee83d317aa0825f8a614ded5b81d,Q51511,2017-07-16,1940-02-04,77
0be84c64de4b4015ceac6a0fe28435dd,Q7405291,,1944-08-29,79
7b437054a606fa924025c8ef1c0b84fa,Q472254,,1934-05-06,89
6850cfe5edee806e0ed6cb839f454957,Q8017332,,1961-01-19,62
a7611e74b7e9f1b556219d478135c498,Q6881360,,1956-01-01,68
b5305713cb842987d4f137522a760909,Q2714395,,1946-02-09,77
f18f2120a4d37b25b2b6809d91739b55,Q7306932,,1951-05-11,72
fe7e525b72f0f3f392720307570796a9,Q944763,,1964-07-03,59
64ed5d4aab357971c52153f3ac52ab8e,Q337226,2021-03-25,1941-04-25,79
5cfad53c0075b522d8d88be46cfd45cc,Q18430,,1943-02-09,80
ee6b998ffa1fbaacff43dfcd579e1b46,Q4678413,,1944-01-23,79
9f92a81767da89af8b06d7888938db24,Q275161,,1947-02-20,76
26c5106da74c0d614cd02b98a24d6a3c,Q1339019,,1947-04-11,76
2d92bbd13f17fa86f1938a469878e363,Q338812,,1952-05-15,71
60881f9fae9650239b15d50512bd6db3,Q215366,,1973-01-31,50
5041fa2daaa1ddf3441c2b3c51901a3a,Q1559485,,1950-10-11,73
6cc8fe3c07f5c3ffff0fc4db6f5e893e,Q434113,1987-07-04,1908-01-21,79
8bf95aebaba00ba5c12ecf904fbc0df5,Q81223,,1970-12-15,53
7600df5d972dc4a7244f6cadbe00adc0,Q273164,,1958-08-20,65
5b068341dddf57f95b1968dc3937be8b,Q443004,,1947-09-27,76
8aeee67f020c62b40de44a2cebb32849,Q471801,2021-10-24,1962-05-28,59
d327dba1ce0d3352909fc11fb355bbf1,Q1394787,2007-04-30,1926-08-03,80
d7c216a3e4e582fe2b8449970926a4f2,Q2636837,2006-02-06,1929-11-14,76
25a62fca84904a68c50e3f02f0b8f0d7,Q7368425,2023-08-10,1938-06-21,85
704d2282d23ada96a27e452248249bf1,Q5111166,,1950-12-10,73
1cc8c2e1b57dd4602248c1058e087d92,Q236582,,1982-06-16,41
9f380fc5cad02e58036469fb37bf99e7,Q27677,,1948-05-15,75
6faa3ceb532e3b69ec4c01e2b18edfca,Q5258855,2018-01-27,1945-04-08,72
696de32a8502fe9f2268e953c5dd2a6c,Q528527,,1961-07-19,62
88d28b06b88a4eb89f274558a2bc5329,Q881892,2011-02-21,1916-10-03,94
86bafc7ead7a6adda0d5101e0167bc96,Q248767,2008-07-08,1912-11-29,95
7d086c0109460bfcccfaddfebe38e3d9,Q5248522,,1957-10-15,66
a628894778e8ea984d96ba2960a2d14f,Q272908,2009-08-11,1921-07-10,88
8ba6cfb312c130c03ace4b0301444df8,Q745414,1991-03-15,1908-07-14,82
334c5584cbce87afe99cacd92e46e281,Q167635,,1991-03-06,32
37bbe8d1b570d6dc5a7c83adc6a7e5b1,Q295463,,1964-03-16,59
574d2327b6a6944169c44db2b710e3ba,Q59112,1989-02-06,1912-01-30,77
6cbb1742ed33a7a5dfd71931d4eafe05,Q7364362,2006-03-27,1928-08-07,77
7b4db9933d1ae568ef456fec3098f4b5,Q333525,,1953-05-26,70
8eba576dbdeca0eeddc146f15ae6a8f0,Q7087821,1996-03-27,1915-05-30,80
fd57569f2d88a2ad7ca7dc98617a7197,Q1256698,,1945-07-04,78
f3c60c3ee5035db26e2d7c47555c86f6,Q6759873,,1949-01-01,75
5cf422a1124313bc888e980dbcc21ad8,Q1225,,1949-09-23,74
ae5e634ba8cfc05702cc6ab3c0723e6a,Q2165528,,1955-11-20,68
5db3ffb5c874cbc4a1dcaa914e660f0b,Q2908,1944-07-31,1900-06-29,44
3868cca0e7523738c2c5774436439e18,Q730261,,1971-04-18,52
42b26a15f5fbe08df10617fe1ad8eadd,Q16016629,2005-06-15,1913-07-23,91
94e675ebf9261c316ab23820d4630d5c,Q320726,,1944-03-31,79
f0b20cdcf0c1eb9986b68672ef7b5163,Q212545,2009-03-18,1963-05-11,45
53c472d773490f744fd4ae14274152c1,Q83038,1968-06-14,1901-08-20,66
18cf9154be7c59a6d4b162a31c019115,Q238146,,1962-07-03,61
468ae64101fe5beb7dca7800d413230d,Q4028,,1941-10-13,82
0bfcd0d5688fd911bcaf8e328a8c3beb,Q5295004,1942-01-01,1896-01-01,46
